trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
131,False,"{'a': 0.2, 'e': 0.26804671691687404}",25,6,7.5307170950767865,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 0}",1
132,False,"{'a': 0.2, 'e': 0.2653662497477053}",20,8,-43.630305594334374,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
133,False,"{'a': 0.2, 'e': 0.2627125872502282}",25,15,18.906269192469377,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.2, 'e': 0.2600854613777259}",20,16,5.981128574111075,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.2, 'e': 0.2574846067639487}",20,15,2.363433355783794,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.2, 'e': 0.2549097606963092}",20,6,-17.270131090255394,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
137,False,"{'a': 0.2, 'e': 0.2523606630893461}",35,14,-20.175401711389963,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 1}",1
138,False,"{'a': 0.2, 'e': 0.24983705645845267}",25,13,-13.26116530908515,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
139,False,"{'a': 0.2, 'e': 0.24733868589386815}",25,14,-2.2213746185692225,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
140,False,"{'a': 0.2, 'e': 0.24486529903492946}",20,0,1.0155639643734111,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
141,False,"{'a': 0.2, 'e': 0.24241664604458016}",25,13,10.159063623531546,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
142,False,"{'a': 0.2, 'e': 0.23999247958413436}",20,0,-10.6570403717851,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
143,False,"{'a': 0.2, 'e': 0.23759255478829303}",30,14,-2.092700038249622,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
144,False,"{'a': 0.2, 'e': 0.2352166292404101}",30,13,13.304073284232615,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
145,False,"{'a': 0.2, 'e': 0.232864462948006}",25,11,26.896747151491397,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.2, 'e': 0.23053581831852593}",20,10,6.639990907795585,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
147,False,"{'a': 0.2, 'e': 0.22823046013534068}",25,14,14.933947909330366,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.2, 'e': 0.22594815553398728}",20,14,-1.9280104649246779,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
149,False,"{'a': 0.2, 'e': 0.22368867397864742}",25,12,23.063989133870063,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.2, 'e': 0.22145178723886094}",20,9,7.856686773090846,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
151,False,"{'a': 0.2, 'e': 0.21923726936647234}",25,14,-34.86155778691998,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
152,False,"{'a': 0.2, 'e': 0.2170448966728076}",30,17,-1.3665000317324547,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
153,False,"{'a': 0.2, 'e': 0.21487444770607952}",20,3,-19.980109555553582,"{0: 15, 1: 0, 2: 0, 3: 2, 4: 0}",1
154,False,"{'a': 0.2, 'e': 0.21272570322901874}",25,17,12.897280550174717,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.2, 'e': 0.21059844619672854}",30,12,28.191962986761702,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.2, 'e': 0.20849246173476127}",20,0,21.49986658988487,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
157,False,"{'a': 0.2, 'e': 0.20640753711741366}",20,11,4.22885531969225,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
158,False,"{'a': 0.2, 'e': 0.20434346174623952}",20,0,-38.44975240356302,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
159,False,"{'a': 0.2, 'e': 0.20230002712877712}",20,15,-0.2271084505239962,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.2, 'e': 0.20027702685748935}",25,18,14.135776310361212,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.2, 'e': 0.19827425658891445}",25,15,21.197372926964388,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.2, 'e': 0.1962915140230253}",20,0,6.363152227111182,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
163,False,"{'a': 0.2, 'e': 0.19432859888279505}",30,19,-3.08528245504196,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
164,False,"{'a': 0.2, 'e': 0.1923853128939671}",20,14,13.557766690513603,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.2, 'e': 0.19046145976502743}",20,5,19.590144241533302,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
